arquivo,diretorio,nome_fonte,descricao,tamanho_bytes,num_registros,ultima_atualizacao
ciha/comunicacao_internacao_hospitalar_ambulatorial.parquet,ciha,CIHA - Comunicação de Informação Hospitalar e Ambulatorial,"Internações e atendimentos ambulatoriais comunicados ao SUS, incluindo produção não-SUS (particular, planos de saúde), 2011-atual. Sucede o antigo CIH.",3090024508,286131887,2026-08-04 16:37:37
cnes/equipamentos.parquet,cnes,CNES - Equipamentos,"Equipamentos cadastrados por estabelecimento (raio-X, ressonância, tomógrafo etc).",10306812,1097855,2026-08-04 16:38:12
cnes/estabelecimentos_de_saude.parquet,cnes,CNES - Estabelecimentos de Saúde,"Cadastro Nacional de Estabelecimentos de Saúde -- identificação, endereço, CNPJ e infraestrutura de todos os estabelecimentos de saúde do Brasil.",75395479,627864,2026-08-04 16:38:52
cnes/habilitacoes.parquet,cnes,CNES - Habilitações,Habilitações de todos os estabelecimentos de saúde do Brasil.,914178,34293,2026-08-04 16:38:56
cnes/leitos.parquet,cnes,CNES - Leitos,Contagem de leitos de todos os estabelecimentos de saúde do Brasil.,602225,51927,2026-08-04 16:38:59
cnes/profissionais.parquet,cnes,CNES - Profissionais,"Profissionais de saúde cadastrados por estabelecimento (CBO, carga horária, forma de contratação).",333295975,6686212,2026-08-04 16:42:13
geo/macroregiao_de_saude.parquet,geo,Macrorregiões de Saúde (geolocalização),"Municípios brasileiros associados às macrorregiões de saúde, regiões de saúde e coordenadas geográficas.",276371,5570,2026-08-04 16:42:16
ibge/microdados_pns_2013.txt,ibge,PNS/IBGE 2013 - Microdados Brutos,"Microdados de posição fixa completos, sem recorte temático.",330464110,,2026-08-04 16:44:33
ibge/microdados_pns_2019.txt,ibge,PNS/IBGE 2019 - Microdados Brutos,"Microdados de posição fixa completos, sem recorte temático.",455275300,,2026-08-04 16:47:54
ibge/pib_municipal.parquet,ibge,IBGE - PIB Municipal,"PIB, Valor Adicionado Bruto por setor (Agropecuária/Indústria/Serviços) e atividade econômica, por município e ano (tabela SIDRA 5938).",1267188,122540,2026-08-04 16:48:00
ibge/populacao_estimada.parquet,ibge,IBGE - População Estimada por Município,Série de população estimada por município e ano -- habilita taxas per capita sobre qualquer outra fonte deste hub.,1099725,116991,2026-08-04 16:48:05
sia/apac_cirurgia_bariatrica.parquet,sia,SIA/SUS - APAC de Cirurgia Bariátrica,"APACs de acompanhamento a cirurgia bariátrica, 2008 a Mar/2013 (substituída pela ABO).",9091934,231034,2026-08-04 16:48:38
sia/apac_confeccao_fistula.parquet,sia,SIA/SUS - APAC de Confecção de Fístula Arteriovenosa,"APACs de confecção de fístula arteriovenosa (acesso para diálise), Jun/2014-atual.",19061146,402605,2026-08-04 16:49:11
sia/apac_laudos_diversos.parquet,sia,SIA/SUS - APAC de Laudos Diversos,"APACs de laudos diversos, 2008-atual.",2291668774,60052542,2026-08-04 17:04:23
sia/apac_medicamentos.parquet,sia,SIA/SUS - APAC de Medicamentos,"APACs de medicamentos (componente especializado da assistência farmacêutica), 2008-atual.",12656368336,380317866,2026-08-05 16:45:44
sia/apac_nefrologia.parquet,sia,SIA/SUS - APAC de Nefrologia,"APACs de nefrologia, 2008 a Out/2014 (substituída pela ATD).",250299577,6534272,2026-08-04 17:06:06
sia/apac_pos_cirurgia_bariatrica.parquet,sia,SIA/SUS - APAC de Acompanhamento Pós Cirurgia Bariátrica,"APACs de acompanhamento pós cirurgia bariátrica, Abr/2013-atual.",18600105,539015,2026-08-04 17:06:41
sia/apac_quimioterapia.parquet,sia,SIA/SUS - APAC de Quimioterapia,"APACs de quimioterapia oncológica, 2008-atual.",2709870214,61249962,2026-08-04 17:25:08
sia/apac_radioterapia.parquet,sia,SIA/SUS - APAC de Radioterapia,"APACs de radioterapia oncológica, 2008-atual.",224390904,4033243,2026-08-04 17:26:53
sia/apac_tratamento_dialitico.parquet,sia,SIA/SUS - APAC de Tratamento Dialítico,"APACs de tratamento dialítico (diálise), Jun/2014-atual.",605746609,16262187,2026-08-04 17:31:29
sia/atencao_domiciliar.parquet,sia,SIA/SUS - Atenção Domiciliar (RAAS),"RAAS de Atenção Domiciliar (SAD/Melhor em Casa), Nov/2012-atual.",41328659,3524141,2026-08-04 17:32:06
